sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation	argumentTypeId
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32014310	refute												https://www.inaturalist.org/observations/32014310		https://en.wiktionary.org/wiki/refute
		Scymnus suturalis							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32014312	refute												https://www.inaturalist.org/observations/32014312		https://en.wiktionary.org/wiki/refute
		Forficula auricularia							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32014313	refute												https://www.inaturalist.org/observations/32014313		https://en.wiktionary.org/wiki/refute
		Myrrha octodecimguttata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32014320	refute												https://www.inaturalist.org/observations/32014320		https://en.wiktionary.org/wiki/refute
		Vibidia duodecimguttata							http://purl.obolibrary.org/obo/RO_0002470	eats			Carpinus betulus				https://www.inaturalist.org/observations/32014347	refute												https://www.inaturalist.org/observations/32014347		https://en.wiktionary.org/wiki/refute
		Aphidecta obliterata							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/32017063	refute												https://www.inaturalist.org/observations/32017063		https://en.wiktionary.org/wiki/refute
		Leptura quadrifasciata							http://purl.obolibrary.org/obo/RO_0002470	eats			Heracleum sphondylium				https://www.inaturalist.org/observations/32019255	refute												https://www.inaturalist.org/observations/32019255		https://en.wiktionary.org/wiki/refute
		Rutpela maculata							http://purl.obolibrary.org/obo/RO_0002470	eats			Filipendula ulmaria				https://www.inaturalist.org/observations/32019260	refute												https://www.inaturalist.org/observations/32019260		https://en.wiktionary.org/wiki/refute
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32022389	refute												https://www.inaturalist.org/observations/32022389		https://en.wiktionary.org/wiki/refute
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32022393	refute												https://www.inaturalist.org/observations/32022393		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32048941	refute												https://www.inaturalist.org/observations/32048941		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32114530	refute												https://www.inaturalist.org/observations/32114530		https://en.wiktionary.org/wiki/refute
		Coccinella septempunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/32114531	refute												https://www.inaturalist.org/observations/32114531		https://en.wiktionary.org/wiki/refute
		Chilocorus bipustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Chilocorus bipustulatus				https://www.inaturalist.org/observations/32118508	refute												https://www.inaturalist.org/observations/32118508		https://en.wiktionary.org/wiki/refute
		Halictus quadricinctus							http://purl.obolibrary.org/obo/RO_0002470	eats			Euphorbia cyparissias				https://www.inaturalist.org/observations/32167678	refute												https://www.inaturalist.org/observations/32167678		https://en.wiktionary.org/wiki/refute
		Andrena pandellei							http://purl.obolibrary.org/obo/RO_0002470	eats			Campanula				https://www.inaturalist.org/observations/32167681	refute												https://www.inaturalist.org/observations/32167681		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32167694	refute												https://www.inaturalist.org/observations/32167694		https://en.wiktionary.org/wiki/refute
